Invoice ID,Customer type,Gender,City,Branch
750-67-8428,Member,Female,Yangon,A
226-31-3081,Normal,Female,Naypyitaw,C
631-41-3108,Normal,Male,Yangon,A
123-19-1176,Member,Male,Yangon,A
373-73-7910,Normal,Male,Yangon,A
699-14-3026,Normal,Male,Naypyitaw,C
355-53-5943,Member,Female,Yangon,A
315-22-5665,Normal,Female,Naypyitaw,C
665-32-9167,Member,Female,Yangon,A
692-92-5582,Member,Female,Mandalay,B
351-62-0822,Member,Female,Mandalay,B
529-56-3974,Member,Male,Mandalay,B
365-64-0515,Normal,Female,Yangon,A
252-56-2699,Normal,Male,Yangon,A
829-34-3910,Normal,Female,Yangon,A
299-46-1805,Member,Female,Mandalay,B
656-95-9349,Member,Female,Yangon,A
765-26-6951,Normal,Male,Yangon,A
329-62-1586,Normal,Male,Yangon,A
319-50-3348,Normal,Female,Mandalay,B
300-71-4605,Member,Male,Naypyitaw,C
371-85-5789,Normal,Male,Mandalay,B
273-16-6619,Normal,Male,Mandalay,B
636-48-8204,Normal,Male,Yangon,A
549-59-1358,Member,Male,Yangon,A
227-03-5010,Member,Female,Yangon,A
649-29-6775,Normal,Male,Mandalay,B
189-17-4241,Normal,Female,Yangon,A
145-94-9061,Normal,Female,Mandalay,B
848-62-7243,Normal,Male,Yangon,A
871-79-8483,Normal,Male,Mandalay,B
149-71-6266,Member,Male,Mandalay,B
640-49-2076,Normal,Male,Mandalay,B
595-11-5460,Normal,Male,Yangon,A
183-56-6882,Member,Female,Naypyitaw,C
232-16-2483,Member,Female,Naypyitaw,C
129-29-8530,Member,Male,Yangon,A
272-65-1806,Normal,Female,Yangon,A
333-73-7901,Normal,Female,Naypyitaw,C
777-82-7220,Member,Male,Mandalay,B
280-35-5823,Member,Female,Mandalay,B
554-53-8700,Member,Male,Naypyitaw,C
354-25-5821,Member,Female,Mandalay,B
228-96-1411,Member,Female,Naypyitaw,C
617-15-4209,Member,Male,Naypyitaw,C
132-32-9879,Member,Female,Mandalay,B
370-41-7321,Member,Male,Mandalay,B
727-46-3608,Member,Female,Mandalay,B
669-54-1719,Member,Male,Mandalay,B
574-22-5561,Member,Female,Naypyitaw,C
326-78-5178,Member,Male,Naypyitaw,C
162-48-8011,Member,Female,Yangon,A
616-24-2851,Member,Female,Mandalay,B
778-71-5554,Member,Male,Naypyitaw,C
242-55-6721,Normal,Male,Mandalay,B
399-46-5918,Normal,Female,Naypyitaw,C
106-35-6779,Member,Male,Yangon,A
635-40-6220,Normal,Male,Yangon,A
817-48-8732,Member,Female,Yangon,A
120-06-4233,Normal,Male,Naypyitaw,C
285-68-5083,Member,Female,Naypyitaw,C
803-83-5989,Normal,Male,Naypyitaw,C
347-34-2234,Member,Female,Mandalay,B
199-75-8169,Member,Male,Yangon,A
853-23-2453,Member,Male,Mandalay,B
877-22-3308,Member,Male,Yangon,A
838-78-4295,Normal,Female,Naypyitaw,C
109-28-2512,Member,Female,Mandalay,B
232-11-3025,Normal,Male,Yangon,A
382-03-4532,Member,Female,Yangon,A
393-65-2792,Normal,Male,Naypyitaw,C
796-12-2025,Normal,Male,Naypyitaw,C
510-95-6347,Member,Female,Mandalay,B
841-35-6630,Normal,Female,Naypyitaw,C
287-21-9091,Normal,Male,Yangon,A
732-94-0499,Normal,Female,Naypyitaw,C
263-10-3913,Member,Male,Naypyitaw,C
381-20-0914,Member,Female,Yangon,A
829-49-1914,Member,Female,Naypyitaw,C
756-01-7507,Normal,Female,Naypyitaw,C
870-72-4431,Normal,Female,Naypyitaw,C
847-38-7188,Normal,Female,Mandalay,B
480-63-2856,Normal,Male,Naypyitaw,C
787-56-0757,Member,Female,Naypyitaw,C
360-39-5055,Member,Male,Naypyitaw,C
730-50-9884,Normal,Female,Naypyitaw,C
362-58-8315,Normal,Male,Naypyitaw,C
633-44-8566,Member,Male,Yangon,A
504-35-8843,Normal,Male,Yangon,A
318-68-5053,Normal,Female,Mandalay,B
565-80-5980,Member,Female,Naypyitaw,C
225-32-0908,Normal,Female,Naypyitaw,C
873-51-0671,Member,Female,Yangon,A
152-08-9985,Member,Male,Mandalay,B
512-91-0811,Normal,Male,Naypyitaw,C
594-34-4444,Normal,Male,Yangon,A
766-85-7061,Normal,Male,Mandalay,B
871-39-9221,Normal,Female,Naypyitaw,C
865-92-6136,Normal,Male,Yangon,A
733-01-9107,Normal,Male,Mandalay,B
163-56-7055,Member,Male,Naypyitaw,C
189-98-2939,Normal,Male,Naypyitaw,C
551-21-3069,Normal,Female,Naypyitaw,C
212-62-1842,Normal,Male,Yangon,A
716-39-1409,Normal,Male,Mandalay,B
704-48-3927,Member,Male,Yangon,A
628-34-3388,Normal,Male,Naypyitaw,C
630-74-5166,Normal,Male,Yangon,A
588-01-7461,Normal,Female,Naypyitaw,C
861-77-0145,Member,Male,Naypyitaw,C
479-26-8945,Member,Female,Mandalay,B
210-67-5886,Member,Female,Naypyitaw,C
227-78-1148,Normal,Female,Mandalay,B
645-44-1170,Member,Male,Yangon,A
237-01-6122,Member,Female,Naypyitaw,C
225-98-1496,Normal,Female,Naypyitaw,C
291-32-1427,Member,Male,Mandalay,B
659-65-8956,Member,Male,Mandalay,B
642-32-2990,Normal,Female,Yangon,A
378-24-2715,Normal,Male,Mandalay,B
638-60-7125,Normal,Female,Yangon,A
659-36-1684,Member,Male,Naypyitaw,C
219-22-9386,Member,Male,Mandalay,B
336-78-2147,Member,Male,Naypyitaw,C
268-27-6179,Member,Female,Mandalay,B
668-90-8900,Normal,Female,Yangon,A
870-54-3162,Normal,Female,Yangon,A
189-08-9157,Normal,Female,Naypyitaw,C
663-86-9076,Member,Female,Naypyitaw,C
549-84-7482,Normal,Female,Mandalay,B
191-10-6171,Normal,Female,Mandalay,B
802-70-5316,Member,Female,Yangon,A
695-51-0018,Normal,Female,Mandalay,B
590-83-4591,Member,Male,Mandalay,B
483-71-1164,Normal,Female,Naypyitaw,C
597-78-7908,Normal,Male,Naypyitaw,C
700-81-1757,Normal,Female,Yangon,A
354-39-5160,Member,Female,Yangon,A
241-72-9525,Normal,Male,Mandalay,B
575-30-8091,Normal,Male,Yangon,A
731-81-9469,Member,Female,Naypyitaw,C
280-17-4359,Member,Male,Naypyitaw,C
338-65-2210,Member,Female,Naypyitaw,C
488-25-4221,Member,Female,Naypyitaw,C
239-10-7476,Normal,Female,Yangon,A
458-41-1477,Normal,Female,Naypyitaw,C
685-64-1609,Member,Female,Yangon,A
568-90-5112,Normal,Male,Naypyitaw,C
262-47-2794,Member,Male,Mandalay,B
238-49-0436,Normal,Male,Yangon,A
608-96-3517,Member,Female,Mandalay,B
584-86-7256,Member,Male,Naypyitaw,C
746-94-0204,Normal,Male,Yangon,A
214-17-6927,Normal,Female,Naypyitaw,C
400-89-4171,Normal,Female,Naypyitaw,C
782-95-9291,Member,Male,Yangon,A
279-74-2924,Member,Male,Mandalay,B
307-85-2293,Normal,Male,Mandalay,B
743-04-1105,Member,Male,Mandalay,B
423-57-2993,Normal,Male,Mandalay,B
