Invoice ID,Date,Quantity,Payment,Total
750-67-8428,05-01-2019,7,Ewallet,548.9715
226-31-3081,08-03-2019,5,Cash,80.22
631-41-3108,03-03-2019,7,Credit card,340.5255
123-19-1176,27-01-2019,8,Ewallet,489.048
373-73-7910,08-02-2019,7,Ewallet,634.3785
699-14-3026,25-03-2019,7,Ewallet,627.6165
355-53-5943,25-02-2019,6,Ewallet,433.692
315-22-5665,24-02-2019,10,Ewallet,772.38
665-32-9167,10-01-2019,2,Credit card,76.146
692-92-5582,20-02-2019,3,Credit card,172.746
351-62-0822,06-02-2019,4,Ewallet,60.816
529-56-3974,09-03-2019,4,Cash,107.142
365-64-0515,12-02-2019,5,Ewallet,246.4875
252-56-2699,07-02-2019,10,Ewallet,453.495
829-34-3910,29-03-2019,10,Cash,749.49
299-46-1805,15-01-2019,6,Cash,590.436
656-95-9349,11-03-2019,7,Credit card,506.6355
765-26-6951,01-01-2019,6,Credit card,457.443
329-62-1586,21-01-2019,3,Credit card,172.2105
319-50-3348,11-03-2019,2,Ewallet,84.63
300-71-4605,25-02-2019,5,Ewallet,451.71
371-85-5789,05-03-2019,3,Ewallet,277.137
273-16-6619,15-03-2019,2,Credit card,69.72
636-48-8204,17-02-2019,5,Ewallet,181.44
549-59-1358,02-03-2019,3,Ewallet,279.1845
227-03-5010,22-03-2019,8,Credit card,441.756
649-29-6775,08-02-2019,1,Cash,35.196
189-17-4241,10-03-2019,2,Credit card,184.107
145-94-9061,25-01-2019,5,Cash,463.89
848-62-7243,15-03-2019,9,Cash,235.2105
871-79-8483,25-02-2019,5,Credit card,494.1825
149-71-6266,28-01-2019,9,Cash,737.7615
640-49-2076,10-01-2019,8,Cash,703.752
595-11-5460,15-03-2019,2,Credit card,202.818
183-56-6882,06-02-2019,4,Ewallet,417.564
232-16-2483,07-01-2019,1,Ewallet,71.526
129-29-8530,10-03-2019,5,Ewallet,328.755
272-65-1806,15-01-2019,9,Ewallet,575.316
333-73-7901,23-03-2019,8,Ewallet,461.328
777-82-7220,03-03-2019,8,Cash,253.008
280-35-5823,17-01-2019,1,Ewallet,91.056
554-53-8700,02-02-2019,2,Cash,117.831
354-25-5821,08-02-2019,6,Cash,435.456
228-96-1411,04-03-2019,8,Cash,829.08
617-15-4209,16-03-2019,2,Cash,32.277
132-32-9879,09-03-2019,4,Cash,394.632
370-41-7321,27-02-2019,9,Credit card,535.7205
727-46-3608,06-02-2019,9,Ewallet,189.0945
669-54-1719,10-02-2019,6,Credit card,119.259
574-22-5561,19-03-2019,10,Ewallet,867.615
326-78-5178,03-02-2019,7,Cash,671.79
162-48-8011,10-02-2019,5,Cash,234.0975
616-24-2851,22-03-2019,4,Ewallet,75.054
778-71-5554,25-01-2019,1,Credit card,16.2015
242-55-6721,07-03-2019,2,Ewallet,33.936
399-46-5918,28-02-2019,8,Cash,722.232
106-35-6779,27-03-2019,2,Cash,93.114
635-40-6220,07-02-2019,8,Ewallet,752.64
817-48-8732,20-01-2019,10,Cash,759.675
120-06-4233,12-03-2019,6,Cash,192.843
285-68-5083,15-02-2019,3,Credit card,77.931
803-83-5989,24-02-2019,6,Ewallet,351.099
347-34-2234,03-02-2019,9,Ewallet,520.4115
199-75-8169,06-03-2019,10,Credit card,166.005
853-23-2453,14-02-2019,4,Cash,318.108
877-22-3308,13-03-2019,10,Cash,166.635
838-78-4295,10-02-2019,2,Ewallet,70.287
109-28-2512,07-01-2019,6,Ewallet,614.943
232-11-3025,24-01-2019,10,Cash,827.085
382-03-4532,02-02-2019,1,Cash,19.2465
393-65-2792,06-01-2019,10,Credit card,939.54
796-12-2025,11-02-2019,10,Cash,652.26
510-95-6347,05-03-2019,3,Ewallet,152.838
841-35-6630,09-03-2019,6,Cash,478.233
287-21-9091,22-01-2019,9,Ewallet,705.6315
732-94-0499,13-01-2019,10,Credit card,437.325
263-10-3913,09-01-2019,9,Credit card,463.428
381-20-0914,12-01-2019,9,Credit card,189.0945
829-49-1914,05-03-2019,10,Ewallet,822.255
756-01-7507,22-01-2019,5,Cash,106.995
870-72-4431,21-01-2019,6,Credit card,624.897
847-38-7188,26-01-2019,3,Ewallet,304.542
480-63-2856,23-01-2019,8,Ewallet,161.7
787-56-0757,23-02-2019,4,Credit card,337.512
360-39-5055,09-03-2019,5,Cash,256.7775
730-50-9884,05-03-2019,7,Ewallet,610.491
362-58-8315,25-03-2019,5,Cash,401.73
633-44-8566,27-03-2019,7,Credit card,362.943
504-35-8843,02-01-2019,1,Cash,44.5935
318-68-5053,27-02-2019,6,Cash,485.037
565-80-5980,23-01-2019,4,Cash,198.996
225-32-0908,26-01-2019,10,Ewallet,471.03
873-51-0671,10-01-2019,7,Ewallet,161.553
152-08-9985,12-03-2019,9,Credit card,608.202
512-91-0811,06-02-2019,1,Credit card,94.2375
594-34-4444,08-03-2019,1,Ewallet,102.018
766-85-7061,29-03-2019,10,Ewallet,922.635
871-39-9221,09-02-2019,6,Cash,78.435
865-92-6136,23-03-2019,3,Ewallet,166.1625
733-01-9107,05-03-2019,6,Cash,521.01
163-56-7055,26-03-2019,1,Cash,51.1455
189-98-2939,01-03-2019,9,Cash,742.2975
551-21-3069,01-02-2019,9,Cash,218.0115
212-62-1842,28-03-2019,6,Cash,367.038
716-39-1409,19-03-2019,7,Cash,223.0725
704-48-3927,12-01-2019,10,Ewallet,931.035
628-34-3388,05-01-2019,6,Credit card,172.494
630-74-5166,22-03-2019,6,Cash,391.419
588-01-7461,24-03-2019,9,Cash,321.111
861-77-0145,03-03-2019,10,Cash,860.685
479-26-8945,05-02-2019,2,Ewallet,34.629
210-67-5886,05-02-2019,3,Credit card,309.3615
227-78-1148,15-02-2019,7,Cash,535.374
645-44-1170,19-01-2019,9,Ewallet,548.7615
237-01-6122,01-02-2019,9,Credit card,763.4655
225-98-1496,02-03-2019,3,Credit card,85.113
291-32-1427,05-03-2019,5,Ewallet,115.185
659-65-8956,16-01-2019,1,Ewallet,53.928
642-32-2990,02-02-2019,10,Ewallet,115.08
378-24-2715,20-01-2019,2,Ewallet,112.224
638-60-7125,14-02-2019,8,Credit card,836.304
659-36-1684,12-01-2019,7,Credit card,419.832
219-22-9386,09-03-2019,9,Credit card,944.622
336-78-2147,13-03-2019,8,Credit card,536.844
268-27-6179,09-03-2019,8,Ewallet,474.348
668-90-8900,10-03-2019,7,Credit card,688.6215
870-54-3162,27-01-2019,5,Cash,169.3125
189-08-9157,08-01-2019,9,Credit card,299.8485
663-86-9076,08-01-2019,8,Ewallet,575.736
549-84-7482,08-02-2019,9,Ewallet,853.146
191-10-6171,25-01-2019,7,Cash,291.207
802-70-5316,06-03-2019,6,Cash,580.419
695-51-0018,10-02-2019,4,Cash,146.328
590-83-4591,17-02-2019,6,Credit card,550.935
483-71-1164,08-03-2019,6,Ewallet,512.19
597-78-7908,18-02-2019,3,Cash,284.193
700-81-1757,18-01-2019,5,Credit card,138.1275
354-39-5160,18-02-2019,6,Cash,216.846
241-72-9525,16-02-2019,10,Cash,545.055
575-30-8091,16-03-2019,8,Ewallet,609
731-81-9469,23-01-2019,10,Credit card,942.9
280-17-4359,25-01-2019,10,Cash,950.25
338-65-2210,05-02-2019,10,Cash,720.3
488-25-4221,22-02-2019,1,Credit card,31.9305
239-10-7476,21-01-2019,6,Ewallet,491.085
458-41-1477,08-03-2019,6,Credit card,291.438
685-64-1609,10-02-2019,10,Ewallet,316.47
568-90-5112,19-03-2019,4,Credit card,277.788
262-47-2794,06-03-2019,8,Credit card,603.624
238-49-0436,27-03-2019,8,Credit card,272.664
608-96-3517,23-03-2019,4,Credit card,384.468
584-86-7256,11-03-2019,7,Credit card,254.016
746-94-0204,29-01-2019,9,Credit card,786.618
214-17-6927,07-02-2019,6,Ewallet,103.824
400-89-4171,28-01-2019,8,Cash,680.148
782-95-9291,20-02-2019,5,Credit card,484.5225
279-74-2924,04-01-2019,1,Cash,75.7785
307-85-2293,07-03-2019,5,Ewallet,263.97
743-04-1105,30-03-2019,9,Ewallet,918.729
423-57-2993,27-03-2019,6,Ewallet,588.357
894-41-5205,19-01-2019,8,Credit card,362.712
275-28-0149,25-02-2019,1,Cash,66.8745
101-17-6199,13-03-2019,7,Credit card,336.5565
423-80-0988,30-01-2019,2,Ewallet,160.44
548-46-9322,20-02-2019,10,Credit card,418.95
505-02-0892,25-02-2019,8,Ewallet,357.588
234-65-2137,16-01-2019,10,Cash,1003.59
687-47-8271,08-02-2019,10,Credit card,1039.29
796-32-9050,19-01-2019,6,Cash,323.064
105-31-1824,01-02-2019,7,Credit card,510.972
249-42-3782,03-01-2019,5,Ewallet,367.5525
316-55-4634,26-01-2019,5,Credit card,420.2625
733-33-4967,03-03-2019,8,Cash,175.14
608-27-6295,19-01-2019,6,Credit card,333.207
414-12-7047,18-01-2019,8,Ewallet,166.236
827-26-2100,21-03-2019,9,Ewallet,319.788
175-54-2529,03-03-2019,8,Credit card,186.228
139-52-2867,13-02-2019,7,Credit card,165.4485
407-63-8975,23-03-2019,6,Ewallet,465.444
342-65-4817,28-01-2019,3,Ewallet,273.42
130-98-8941,09-02-2019,7,Cash,472.311
434-83-9547,23-01-2019,8,Cash,323.148
851-28-6367,23-03-2019,10,Ewallet,162.75
824-88-3614,25-01-2019,8,Ewallet,288.204
586-25-0848,04-03-2019,7,Credit card,90.699
895-66-0685,05-03-2019,3,Ewallet,56.952
305-14-0245,03-03-2019,8,Ewallet,793.716
732-04-5373,08-02-2019,4,Cash,195.174
400-60-7251,10-02-2019,1,Ewallet,77.7735
593-65-1552,28-01-2019,4,Credit card,293.202
284-34-9626,11-02-2019,3,Credit card,242.676
437-58-8131,15-01-2019,2,Ewallet,154.392
286-43-6208,16-03-2019,9,Cash,829.71
641-43-2399,26-01-2019,4,Ewallet,107.31
831-07-6050,19-03-2019,5,Credit card,171.7275
556-86-3144,13-01-2019,1,Cash,78.0045
848-24-9445,26-03-2019,2,Cash,91.77
856-22-8149,23-03-2019,1,Ewallet,26.5545
699-01-4164,12-03-2019,4,Credit card,174.3
420-11-4919,17-02-2019,5,Credit card,374.7975
606-80-4905,29-01-2019,6,Credit card,120.645
542-41-0513,15-03-2019,4,Cash,241.458
426-39-2418,14-01-2019,7,Cash,451.3635
875-46-5808,06-02-2019,10,Ewallet,271.95
394-43-4238,15-02-2019,5,Credit card,93.2925
749-24-1565,03-01-2019,9,Ewallet,217.6335
672-51-8681,04-01-2019,9,Credit card,629.8425
263-87-5680,18-03-2019,10,Ewallet,299.565
573-58-9734,28-03-2019,3,Ewallet,95.6655
817-69-8206,02-03-2019,9,Credit card,942.4485
888-02-0338,25-01-2019,9,Ewallet,247.8735
677-11-0152,16-01-2019,9,Cash,881.307
142-63-6033,20-03-2019,5,Ewallet,484.89
656-16-1063,04-01-2019,3,Credit card,146.223
891-58-8335,11-03-2019,7,Cash,217.6335
802-43-8934,22-03-2019,1,Credit card,19.194
560-30-5617,24-03-2019,5,Cash,130.0425
319-74-2561,21-02-2019,3,Cash,298.116
549-03-9315,12-02-2019,8,Ewallet,796.908
790-29-1172,10-03-2019,3,Credit card,180.621
239-36-3640,31-01-2019,6,Ewallet,285.705
468-01-2051,06-03-2019,7,Ewallet,456.288
389-25-3394,17-02-2019,5,Cash,62.0025
279-62-1445,21-02-2019,1,Cash,13.167
213-72-6612,20-03-2019,2,Cash,90.825
746-68-6593,11-01-2019,2,Credit card,183.036
836-82-5858,26-01-2019,9,Ewallet,655.5465
583-72-1480,31-01-2019,4,Ewallet,155.652
466-61-5506,26-02-2019,6,Cash,571.41
721-86-6247,11-03-2019,8,Ewallet,532.728
289-65-5721,26-01-2019,2,Cash,170.877
545-46-3100,12-03-2019,3,Credit card,33.3585
418-02-5978,11-02-2019,9,Cash,794.6505
269-04-5750,21-02-2019,4,Cash,310.044
157-13-5295,09-03-2019,10,Ewallet,545.37
645-78-8093,20-01-2019,2,Ewallet,195.594
211-30-9270,28-01-2019,5,Credit card,91.4025
755-12-3214,05-03-2019,5,Credit card,232.155
346-84-3103,02-03-2019,5,Cash,69.405
478-06-7835,11-01-2019,1,Ewallet,94.1745
540-11-4336,11-01-2019,9,Credit card,235.683
448-81-5016,11-03-2019,2,Credit card,125.517
142-72-4741,28-02-2019,2,Credit card,195.72
217-58-1179,05-01-2019,4,Cash,263.13
376-02-8238,02-02-2019,8,Credit card,788.508
530-90-9855,01-01-2019,8,Cash,399.756
866-05-7563,09-02-2019,3,Cash,256.41
