Invoice ID,Product line,Unit price,Rating
750-67-8428,Health and beauty,74.69,9.1
226-31-3081,Electronic accessories,15.28,9.6
631-41-3108,Home and lifestyle,46.33,7.4
123-19-1176,Health and beauty,58.22,8.4
373-73-7910,Sports and travel,86.31,5.3
699-14-3026,Electronic accessories,85.39,4.1
355-53-5943,Electronic accessories,68.84,5.8
315-22-5665,Home and lifestyle,73.56,8
665-32-9167,Health and beauty,36.26,7.2
692-92-5582,Food and beverages,54.84,5.9
351-62-0822,Fashion accessories,14.48,4.5
529-56-3974,Electronic accessories,25.51,6.8
365-64-0515,Electronic accessories,46.95,7.1
252-56-2699,Food and beverages,43.19,8.2
829-34-3910,Health and beauty,71.38,5.7
299-46-1805,Sports and travel,93.72,4.5
656-95-9349,Health and beauty,68.93,4.6
765-26-6951,Sports and travel,72.61,6.9
329-62-1586,Food and beverages,54.67,8.6
319-50-3348,Home and lifestyle,40.3,4.4
300-71-4605,Electronic accessories,86.04,4.8
371-85-5789,Health and beauty,87.98,5.1
273-16-6619,Home and lifestyle,33.2,4.4
636-48-8204,Electronic accessories,34.56,9.9
549-59-1358,Sports and travel,88.63,6
227-03-5010,Home and lifestyle,52.59,8.5
649-29-6775,Fashion accessories,33.52,6.7
189-17-4241,Fashion accessories,87.67,7.7
145-94-9061,Food and beverages,88.36,9.6
848-62-7243,Health and beauty,24.89,7.4
871-79-8483,Fashion accessories,94.13,4.8
149-71-6266,Sports and travel,78.07,4.5
640-49-2076,Sports and travel,83.78,5.1
595-11-5460,Health and beauty,96.58,5.1
183-56-6882,Food and beverages,99.42,7.5
232-16-2483,Sports and travel,68.12,6.8
129-29-8530,Sports and travel,62.62,7
272-65-1806,Electronic accessories,60.88,4.7
333-73-7901,Health and beauty,54.92,7.6
777-82-7220,Home and lifestyle,30.12,7.7
280-35-5823,Home and lifestyle,86.72,7.9
554-53-8700,Home and lifestyle,56.11,6.3
354-25-5821,Sports and travel,69.12,5.6
228-96-1411,Food and beverages,98.7,7.6
617-15-4209,Health and beauty,15.37,7.2
132-32-9879,Electronic accessories,93.96,9.5
370-41-7321,Health and beauty,56.69,8.4
727-46-3608,Food and beverages,20.01,4.1
669-54-1719,Electronic accessories,18.93,8.1
574-22-5561,Fashion accessories,82.63,7.9
326-78-5178,Food and beverages,91.4,9.5
162-48-8011,Food and beverages,44.59,8.5
616-24-2851,Fashion accessories,17.87,6.5
778-71-5554,Fashion accessories,15.43,6.1
242-55-6721,Home and lifestyle,16.16,6.5
399-46-5918,Electronic accessories,85.98,8.2
106-35-6779,Home and lifestyle,44.34,5.8
635-40-6220,Health and beauty,89.6,6.6
817-48-8732,Home and lifestyle,72.35,5.4
120-06-4233,Electronic accessories,30.61,9.3
285-68-5083,Sports and travel,24.74,10
803-83-5989,Home and lifestyle,55.73,7
347-34-2234,Sports and travel,55.07,10
199-75-8169,Sports and travel,15.81,8.6
853-23-2453,Health and beauty,75.74,7.6
877-22-3308,Health and beauty,15.87,5.8
838-78-4295,Health and beauty,33.47,6.7
109-28-2512,Fashion accessories,97.61,9.9
232-11-3025,Sports and travel,78.77,6.4
382-03-4532,Health and beauty,18.33,4.3
393-65-2792,Food and beverages,89.48,9.6
796-12-2025,Fashion accessories,62.12,5.9
510-95-6347,Food and beverages,48.52,4
841-35-6630,Electronic accessories,75.91,8.7
287-21-9091,Home and lifestyle,74.67,9.4
732-94-0499,Electronic accessories,41.65,5.4
263-10-3913,Fashion accessories,49.04,8.6
381-20-0914,Fashion accessories,20.01,5.7
829-49-1914,Food and beverages,78.31,6.6
756-01-7507,Health and beauty,20.38,6
870-72-4431,Health and beauty,99.19,5.5
847-38-7188,Food and beverages,96.68,6.4
480-63-2856,Food and beverages,19.25,6.6
787-56-0757,Food and beverages,80.36,8.3
360-39-5055,Sports and travel,48.91,6.6
730-50-9884,Sports and travel,83.06,4
362-58-8315,Fashion accessories,76.52,9.9
633-44-8566,Food and beverages,49.38,7.3
504-35-8843,Sports and travel,42.47,5.7
318-68-5053,Health and beauty,76.99,6.1
565-80-5980,Home and lifestyle,47.38,7.1
225-32-0908,Sports and travel,44.86,8.2
873-51-0671,Sports and travel,21.98,5.1
152-08-9985,Health and beauty,64.36,8.6
512-91-0811,Health and beauty,89.75,6.6
594-34-4444,Electronic accessories,97.16,7.2
766-85-7061,Health and beauty,87.87,5.1
871-39-9221,Electronic accessories,12.45,4.1
865-92-6136,Food and beverages,52.75,9.3
733-01-9107,Home and lifestyle,82.7,7.4
163-56-7055,Fashion accessories,48.71,4.1
189-98-2939,Fashion accessories,78.55,7.2
551-21-3069,Electronic accessories,23.07,4.9
212-62-1842,Food and beverages,58.26,9.9
716-39-1409,Health and beauty,30.35,8
704-48-3927,Electronic accessories,88.67,7.3
628-34-3388,Fashion accessories,27.38,7.9
630-74-5166,Sports and travel,62.13,7.4
588-01-7461,Food and beverages,33.98,4.2
861-77-0145,Electronic accessories,81.97,9.2
479-26-8945,Sports and travel,16.49,4.6
210-67-5886,Health and beauty,98.21,7.8
227-78-1148,Fashion accessories,72.84,8.4
645-44-1170,Home and lifestyle,58.07,4.3
237-01-6122,Home and lifestyle,80.79,9.5
225-98-1496,Fashion accessories,27.02,7.1
291-32-1427,Fashion accessories,21.94,5.3
659-65-8956,Fashion accessories,51.36,5.2
642-32-2990,Food and beverages,10.96,6
378-24-2715,Home and lifestyle,53.44,4.1
638-60-7125,Electronic accessories,99.56,5.2
659-36-1684,Sports and travel,57.12,6.5
219-22-9386,Sports and travel,99.96,4.2
336-78-2147,Home and lifestyle,63.91,4.6
268-27-6179,Fashion accessories,56.47,7.3
668-90-8900,Home and lifestyle,93.69,4.5
870-54-3162,Sports and travel,32.25,9
189-08-9157,Fashion accessories,31.73,5.9
663-86-9076,Food and beverages,68.54,8.5
549-84-7482,Sports and travel,90.28,7.2
191-10-6171,Fashion accessories,39.62,7.5
802-70-5316,Sports and travel,92.13,8.3
695-51-0018,Sports and travel,34.84,7.4
590-83-4591,Electronic accessories,87.45,8.8
483-71-1164,Health and beauty,81.3,5.3
597-78-7908,Fashion accessories,90.22,6.2
700-81-1757,Electronic accessories,26.31,8.8
